word,macbeth_freq,atlantis_freq,coocurrencies
almost,8,4,12
file,8,4,12
grace,10,2,12
read,5,7,12
word,8,4,12
want,6,6,12
errors,11,1,12
morrow,11,1,12
birds,3,9,12
stood,4,8,12
past,3,9,12
hence,11,1,12
besides,3,9,12
keep,2,10,12
medium,6,6,12
else,11,1,12
least,5,7,12
send,8,4,12
mac,11,1,12
brought,2,10,12
manner,2,10,12
abroad,2,9,11
instruments,3,8,11
purpose,7,4,11
indeed,5,6,11
month,5,6,11
note,7,4,11
children,7,4,11
times,5,6,11
used,4,7,11
trouble,7,4,11
heard,8,3,11
hope,10,1,11
ten,6,5,11
thine,10,1,11
hour,2,9,11
desire,7,4,11
thousand,5,6,11
cause,6,5,11
blessing,3,8,11
woman,10,1,11
tongue,9,2,11
saw,5,6,11
paid,5,6,11
whether,4,7,11
dont,7,3,10
report,9,1,10
happy,3,7,10
large,2,8,10
hast,8,2,10
body,3,7,10
cast,3,7,10
money,5,5,10
wherein,1,9,10
kinds,1,9,10
wish,7,3,10
distribute,5,5,10
false,9,1,10
gutenbergtm,5,5,10
truth,8,2,10
lost,6,4,10
strong,5,5,10
statement,5,5,10
fell,8,2,10
neither,2,8,10
damages,5,5,10
including,5,5,10
gone,8,2,10
gracious,7,2,9
fall,6,3,9
top,2,7,9
point,6,3,9
hart,7,2,9
attendants,6,3,9
copies,6,3,9
hundred,2,7,9
speech,4,5,9
prepared,3,6,9
reason,5,4,9
question,4,5,9
care,5,4,9
even,5,4,9
company,1,8,9
meet,7,2,9
particular,3,6,9
alone,4,5,9
strength,3,6,9
back,1,8,9
title,6,3,9
health,5,4,9
nation,1,8,9
chambers,1,8,9
countries,3,6,9
round,6,3,9
doth,6,2,8
lay,5,3,8
taken,1,7,8
otherwise,1,7,8
fit,4,4,8
date,4,4,8
received,4,4,8
chamber,6,2,8
foot,2,6,8
michael,4,4,8
states,4,4,8
mans,3,5,8
open,4,4,8
secret,2,6,8
donations,4,4,8
letters,3,5,8
attend,5,3,8
need,6,2,8
book,1,7,8
disk,4,4,8
ftp,4,4,8
choose,2,6,8
often,7,1,8
power,7,1,8
fortune,7,1,8
less,1,7,8
breath,7,1,8
room,1,7,8
told,2,6,8
text,6,2,8
email,5,3,8
legal,4,4,8
bid,7,1,8
release,4,4,8
makes,7,1,8
request,4,4,8
colour,1,7,8
refund,4,4,8
taste,1,7,8
sure,6,2,8
messenger,6,2,8
variety,1,7,8
liability,4,4,8
something,6,2,8
given,1,7,8
look,3,5,8
written,2,6,8
million,4,4,8
whereby,1,6,7
relation,1,6,7
throne,4,3,7
thanks,4,3,7
wise,2,5,7
due,6,1,7
age,1,6,7
try,3,4,7
going,2,5,7
women,5,2,7
trees,2,5,7
holy,3,4,7
met,3,4,7
plain,3,4,7
late,6,1,7
author,3,4,7
characters,4,3,7
speak,1,6,7
comfort,5,2,7
takes,6,1,7
rise,6,1,7
prayers,3,4,7
withall,6,1,7
home,5,2,7
greatest,2,5,7
certain,1,6,7
already,4,3,7
hither,5,2,7
letter,2,5,7
issue,6,1,7
wrought,4,3,7
reach,3,4,7
approach,4,3,7
command,6,1,7
according,3,4,7
law,1,6,7
year,2,5,7
sent,4,3,7
young,4,3,7
flourish,5,2,7
second,5,2,7
understand,2,5,7
cold,6,1,7
course,2,5,7
gentle,6,1,7
making,3,4,7
warranties,3,3,6
sending,2,4,6
replacement,3,3,6
thither,5,1,6
pleasure,5,1,6
violent,4,2,6
provide,2,4,6
limited,3,3,6
become,4,2,6
per,3,3,6
matter,1,5,6
taking,1,5,6
horses,5,1,6
port,3,3,6
hartpoboxcom,3,3,6
computer,3,3,6
fast,3,3,6
contain,2,4,6
draw,3,3,6
black,4,2,6
distance,2,4,6
bad,5,1,6
various,3,3,6
sound,5,1,6
space,1,5,6
hill,2,4,6
spirit,3,3,6
twenty,3,3,6
pay,5,1,6
spend,5,1,6
readable,3,3,6
friend,5,1,6
chance,5,1,6
respect,1,5,6
united,3,3,6
especially,1,5,6
remember,4,2,6
mother,5,1,6
toward,5,1,6
marry,2,4,6
editions,4,2,6
got,4,2,6
gods,3,3,6
show,2,4,6
wonder,3,3,6
sides,4,2,6
sites,3,3,6
voice,1,5,6
carnegiemellon,3,3,6
east,1,5,6
white,1,5,6
readers,3,3,6
close,5,1,6
spirits,5,1,6
seemeth,1,5,6
following,2,4,6
known,2,4,6
electronically,3,3,6
equivalent,3,3,6
memory,1,5,6
expense,3,3,6
worse,4,1,5
faith,4,1,5
glass,1,4,5
cut,3,2,5
rich,1,4,5
addition,4,1,5
hearts,3,2,5
mile,2,3,5
bin,4,1,5
estate,2,3,5
cure,3,2,5
cost,2,3,5
labour,3,2,5
spent,2,3,5
ascii,3,2,5
wine,3,2,5
west,1,4,5
view,1,4,5
presently,1,4,5
edition,3,2,5
seas,1,4,5
regard,2,3,5
check,3,2,5
golden,4,1,5
doubt,4,1,5
conference,1,4,5
ground,2,3,5
mercy,1,4,5
touch,3,2,5
account,2,3,5
midnight,3,2,5
produce,2,3,5
single,3,2,5
sweet,4,1,5
inhabitants,1,4,5
finding,1,4,5
led,2,3,5
possible,2,3,5
spoken,3,2,5
hide,4,1,5
mirror,2,3,5
fresh,1,4,5
bath,1,4,5
truly,2,3,5
danger,2,3,5
worth,4,1,5
charge,3,2,5
apply,3,2,5
naked,2,3,5
original,2,3,5
defects,2,3,5
royalty,3,2,5
table,2,3,5
act,4,1,5
tables,2,3,5
humbly,1,4,5
morning,2,3,5
agree,2,3,5
pardon,2,3,5
south,1,4,5
perfect,4,1,5
pages,2,3,5
directly,3,2,5
ready,3,2,5
behold,4,1,5
heat,1,4,5
dollars,3,2,5
office,3,2,5
wants,2,3,5
special,1,4,5
case,1,4,5
breed,4,1,5
altogether,1,4,5
tax,2,3,5
offer,2,3,5
nay,3,2,5
feet,2,3,5
salary,2,3,5
effects,1,4,5
sorts,1,4,5
ill,3,2,5
practise,1,4,5
defect,3,2,5
write,3,2,5
entrance,2,2,4
indicate,2,2,4
projects,2,2,4
trademark,2,2,4
clock,2,2,4
warranty,2,2,4
alternatively,2,2,4
cd,2,2,4
efforts,2,2,4
royalties,2,2,4
wrong,2,2,4
disclaims,2,2,4
salt,1,3,4
looking,1,3,4
goal,2,2,4
stones,2,2,4
executive,3,1,4
execution,3,1,4
browser,2,2,4
fees,2,2,4
proprietary,2,2,4
tender,2,2,4
intended,2,2,4
glory,1,3,4
degrees,1,3,4
points,1,3,4
descended,1,3,4
physical,2,2,4
discover,1,3,4
society,1,3,4
front,3,1,4
fifty,1,3,4
list,2,2,4
hereafter,3,1,4
named,1,3,4
disclaimers,2,2,4
consequential,2,2,4
titles,2,2,4
notice,2,2,4
contract,1,3,4
names,1,3,4
loose,3,1,4
included,2,2,4
tongues,2,2,4
ebcdic,2,2,4
thick,3,1,4
proper,1,3,4
official,2,2,4
derive,2,2,4
buried,1,3,4
yellow,1,3,4
notes,3,1,4
usually,2,2,4
association,2,2,4
sleep,3,1,4
wear,2,2,4
delight,2,2,4
electronic,2,2,4
hat,1,3,4
hypertext,2,2,4
later,2,2,4
held,1,3,4
program,2,2,4
proud,2,2,4
funding,2,2,4
archiveorg,2,2,4
prepare,2,2,4
visit,1,3,4
minute,2,2,4
sun,1,3,4
carried,1,3,4
stop,2,2,4
vantage,3,1,4
except,1,3,4
lust,2,2,4
available,3,1,4
twice,1,3,4
suggestion,2,2,4
gutindex,2,2,4
hate,2,2,4
bounces,2,2,4
distribution,2,2,4
receiving,2,2,4
obedience,3,1,4
low,1,3,4
mail,2,2,4
remove,2,2,4
httppromonetpg,2,2,4
farther,1,3,4
although,1,3,4
houses,1,3,4
unless,2,2,4
fathers,3,1,4
value,1,3,4
net,2,2,4
total,2,2,4
pure,1,3,4
entry,1,3,4
lines,1,3,4
began,3,1,4
patience,3,1,4
wherefore,3,1,4
implied,2,2,4
sometime,3,1,4
setting,3,1,4
suffer,3,1,4
web,2,2,4
using,2,2,4
profits,2,2,4
spacious,1,3,4
causes,2,2,4
midst,1,3,4
proofread,2,2,4
sundry,3,1,4
fee,2,2,4
editing,2,2,4
ends,2,2,4
population,1,3,4
sort,1,3,4
trillion,2,2,4
vessels,1,3,4
listing,2,2,4
additional,2,2,4
smells,1,3,4
software,2,2,4
users,2,2,4
dignity,1,3,4
punctuation,3,1,4
mens,2,2,4
saying,1,3,4
tree,3,1,4
hard,3,1,4
vices,1,3,4
dost,3,1,4
corrected,3,1,4
ones,3,1,4
officers,2,2,4
required,1,2,3
december,1,2,3
described,1,2,3
assortment,2,1,3
pride,1,2,3
flying,1,2,3
promise,2,1,3
motion,1,2,3
reading,2,1,3
presence,2,1,3
bare,1,2,3
finger,2,1,3
example,1,2,3
displayed,1,2,3
particulars,1,2,3
ran,2,1,3
beyond,2,1,3
quiet,1,2,3
lesser,2,1,3
failed,1,2,3
daughters,1,2,3
carry,2,1,3
ignorant,2,1,3
permission,1,2,3
entered,1,2,3
license,1,2,3
agents,2,1,3
forget,1,2,3
beard,2,1,3
presented,1,2,3
cries,2,1,3
provided,1,2,3
barren,1,2,3
collections,1,2,3
flesh,1,2,3
angels,2,1,3
guests,1,2,3
extreme,1,2,3
built,1,2,3
straight,2,1,3
sweeter,1,2,3
garments,1,2,3
gifts,1,2,3
express,1,2,3
precious,2,1,3
senses,1,2,3
instrument,1,2,3
future,1,2,3
willing,1,2,3
interest,1,2,3
begin,2,1,3
producing,1,2,3
demand,1,2,3
sources,1,2,3
arise,1,2,3
apace,1,2,3
lies,2,1,3
convey,1,2,3
exact,1,2,3
corrupt,1,2,3
box,1,2,3
prince,2,1,3
beside,2,1,3
created,1,2,3
laying,1,2,3
added,2,1,3
males,1,2,3
pious,2,1,3
vision,1,2,3
delete,2,1,3
hearing,2,1,3
settled,1,2,3
reader,1,2,3
commend,2,1,3
temple,1,2,3
accept,1,2,3
content,2,1,3
breach,2,1,3
harts,2,1,3
matters,2,1,3
countenance,1,2,3
offices,2,1,3
crown,1,2,3
plant,2,1,3
trade,2,1,3
directors,2,1,3
scanning,2,1,3
troubled,2,1,3
confusion,2,1,3
sought,1,2,3
snow,1,2,3
third,1,2,3
different,2,1,3
expectation,2,1,3
hours,1,2,3
continents,1,2,3
continued,1,2,3
hidden,1,2,3
pleasant,1,2,3
access,1,2,3
months,1,2,3
image,2,1,3
director,2,1,3
silent,1,2,3
commanded,1,2,3
alter,2,1,3
keeping,1,2,3
paper,2,1,3
rings,2,1,3
direction,2,1,3
allow,1,2,3
etc,2,1,3
effect,1,2,3
taught,1,2,3
smile,2,1,3
site,1,2,3
bent,1,2,3
create,2,1,3
bend,1,2,3
converted,1,2,3
aid,1,2,3
bright,2,1,3
champaign,1,1,2
smiling,1,1,2
healing,1,1,2
zip,1,1,2
provisions,1,1,2
instance,1,1,2
preliminary,1,1,2
transcription,1,1,2
disorder,1,1,2
fitness,1,1,2
markup,1,1,2
prefer,1,1,2
piece,1,1,2
x,1,1,2
walls,1,1,2
dir,1,1,2
sue,1,1,2
despite,1,1,2
audience,1,1,2
however,1,1,2
tigers,1,1,2
meaning,1,1,2
alike,1,1,2
kindly,1,1,2
contribution,1,1,2
knit,1,1,2
tied,1,1,2
feasts,1,1,2
tried,1,1,2
ocr,1,1,2
production,1,1,2
smell,1,1,2
cessing,1,1,2
endthe,1,1,2
secrets,1,1,2
modify,1,1,2
blown,1,1,2
aside,1,1,2
lists,1,1,2
displays,1,1,2
rights,1,1,2
reported,1,1,2
foolish,1,1,2
indemnify,1,1,2
calculated,1,1,2
ceremony,1,1,2
satisfied,1,1,2
lead,1,1,2
gift,1,1,2
exclusion,1,1,2
estimate,1,1,2
bound,1,1,2
members,1,1,2
minds,1,1,2
based,1,1,2
desolate,1,1,2
intelligence,1,1,2
army,1,1,2
comment,1,1,2
machine,1,1,2
planted,1,1,2
applicable,1,1,2
continually,1,1,2
indirectly,1,1,2
thereby,1,1,2
sporadic,1,1,2
whereto,1,1,2
advisor,1,1,2
manage,1,1,2
real,1,1,2
etextsverend,1,1,2
thunders,1,1,2
needed,1,1,2
hundreds,1,1,2
major,1,1,2
scholars,1,1,2
hanging,1,1,2
dull,1,1,2
dollar,1,1,2
changing,1,1,2
tm,1,1,2
projected,1,1,2
cannons,1,1,2
dependent,1,1,2
hurt,1,1,2
posting,1,1,2
depart,1,1,2
infringement,1,1,2
tilde,1,1,2
periodic,1,1,2
exclusions,1,1,2
alteration,1,1,2
wherewith,1,1,2
fix,1,1,2
tells,1,1,2
forwards,1,1,2
rage,1,1,2
disclaimer,1,1,2
creation,1,1,2
deepest,1,1,2
printfor,1,1,2
assurance,1,1,2
raise,1,1,2
gratefully,1,1,2
byte,1,1,2
pilots,1,1,2
hartprairienetorg,1,1,2
indemnity,1,1,2
limitation,1,1,2
computerized,1,1,2
damaged,1,1,2
texts,1,1,2
legally,1,1,2
conduct,1,1,2
humans,1,1,2
anonymous,1,1,2
bug,1,1,2
contents,1,1,2
wonders,1,1,2
searched,1,1,2
shed,1,1,2
version,1,1,2
processors,1,1,2
lawyers,1,1,2
download,1,1,2
shape,1,1,2
consent,1,1,2
possibility,1,1,2
robe,1,1,2
someone,1,1,2
imperfect,1,1,2
distributed,1,1,2
acts,1,1,2
fault,1,1,2
consider,1,1,2
machines,1,1,2
onethird,1,1,2
whore,1,1,2
humble,1,1,2
accepts,1,1,2
nearest,1,1,2
listed,1,1,2
birth,1,1,2
central,1,1,2
intellectual,1,1,2
leaving,1,1,2
includes,1,1,2
page,1,1,2
references,1,1,2
il,1,1,2
printing,1,1,2
extent,1,1,2
complete,1,1,2
associationcarnegiemellon,1,1,2
bathe,1,1,2
sunsiteuncedu,1,1,2
modification,1,1,2
billion,1,1,2
gutenbergcmu,1,1,2
swear,1,1,2
expends,1,1,2
week,1,1,2
composition,1,1,2
temper,1,1,2
struck,1,1,2
important,1,1,2
calculate,1,1,2
swelling,1,1,2
codes,1,1,2
saint,1,1,2
clearly,1,1,2
session,1,1,2
login,1,1,2
scrambles,1,1,2
goodly,1,1,2
bounty,1,1,2
considerable,1,1,2
yourlogin,1,1,2
stone,1,1,2
virus,1,1,2
pro,1,1,2
vice,1,1,2
property,1,1,2
familiar,1,1,2
conservative,1,1,2
replace,1,1,2
xxxxxxxxx,1,1,2
therein,1,1,2
edited,1,1,2
thirty,1,1,2
volunteers,1,1,2
haste,1,1,2
links,1,1,2
defective,1,1,2
compliance,1,1,2
resend,1,1,2
advance,1,1,2
images,1,1,2
prairienetorg,1,1,2
size,1,1,2
compressed,1,1,2
currently,1,1,2
negligence,1,1,2
contributions,1,1,2
affection,1,1,2
hardly,1,1,2
incomplete,1,1,2
occasion,1,1,2
beast,1,1,2
deductible,1,1,2
binary,1,1,2
path,1,1,2
resulting,1,1,2
typing,1,1,2
costs,1,1,2
method,1,1,2
remedies,1,1,2
mostly,1,1,2
unwilling,1,1,2
equipment,1,1,2
allowable,1,1,2
professor,1,1,2
gladly,1,1,2
mellon,1,1,2
multiplying,1,1,2
click,1,1,2
reckon,1,1,2
forgot,1,1,2
annual,1,1,2
saluted,1,1,2
paying,1,1,2
merchantability,1,1,2
startthe,1,1,2
encourage,1,1,2
guide,1,1,2
cmu,1,1,2
inaccurate,1,1,2
expenses,1,1,2
data,1,1,2
happily,1,1,2
stated,1,1,2
substances,1,1,2
licenses,1,1,2
party,1,1,2
marble,1,1,2
continuing,1,1,2
estimated,1,1,2
payable,1,1,2
posterity,1,1,2
computers,1,1,2
requires,1,1,2
sizes,1,1,2
readily,1,1,2
mortified,1,1,2
trying,1,1,2
churches,1,1,2
p,1,1,2
vanilla,1,1,2
nominally,1,1,2
force,1,1,2
involved,1,1,2
deeper,1,1,2
thirtysix,1,1,2
accounted,1,1,2
dates,1,1,2
analyzed,1,1,2
separate,1,1,2
blessed,1,1,2
treasure,1,1,2
final,1,1,2
posted,1,1,2
subscribe,1,1,2
eg,1,1,2
versions,1,1,2
header,1,1,2
amends,1,1,2
multiple,1,1,2
harmless,1,1,2
eight,1,1,2
pubdocsbooksgutenberg,1,1,2
explanatory,1,1,2
etextsstart,1,1,2
gutindexall,1,1,2
punitive,1,1,2
disposition,1,1,2
red,1,1,2
identify,1,1,2
concluded,1,1,2
short,1,1,2
taxes,1,1,2
revised,1,1,2
indirect,1,1,2
beaten,1,1,2
mget,1,1,2
transcribe,1,1,2
lime,1,1,2
powers,1,1,2
contacting,1,1,2
flowers,1,1,2
knees,1,1,2
carnegie,1,1,2
fails,1,1,2
assisted,1,1,2
ocean,1,1,2
asis,1,1,2
damage,1,1,2
password,1,1,2
conversion,1,1,2
aright,1,1,2
abound,1,1,2
mirrors,1,1,2
opportunity,1,1,2
selected,1,1,2
rates,1,1,2
underline,1,1,2
announcement,1,1,2
asterisk,1,1,2
strict,1,1,2
owns,1,1,2
loud,1,1,2
incidental,1,1,2
newsletters,1,1,2
rules,1,1,2
cherubin,1,1,2
turning,1,1,2
